image_number,number_of_paths
107,"(array([42, 41]), array([10, 85]))"
107,"(array([116,  12]), array([62, 21]))"
107,"(array([111,  64]), array([28, 35]))"
107,"(array([46,  3]), array([109,   7]))"
107,"(array([45, 48]), array([ 99, 101]))"
107,"(array([37, 87]), array([112,  52]))"
107,"(array([56, 10]), array([102, 103]))"
107,"(array([90, 81]), array([10, 72]))"
107,"(array([16, 79]), array([116,  10]))"
107,"(array([113,  80]), array([54, 11]))"
107,"(array([ 3, 62]), array([117,  77]))"
107,"(array([ 6, 25]), array([112,  20]))"
107,"(array([103, 101]), array([31,  9]))"
107,"(array([104,  73]), array([40, 57]))"
107,"(array([117,  22]), array([ 9, 48]))"
107,"(array([30, 84]), array([68, 35]))"
107,"(array([99, 92]), array([51, 25]))"
107,"(array([20, 35]), array([113,  73]))"
107,"(array([103,  62]), array([43, 38]))"
107,"(array([118,  21]), array([35, 49]))"
107,"(array([78, 17]), array([118,  41]))"
107,"(array([113,  54]), array([51, 76]))"
107,"(array([25, 99]), array([109, 113]))"
107,"(array([26, 93]), array([83, 92]))"
107,"(array([58, 58]), array([4, 4]))"
107,"(array([115, 108]), array([30, 43]))"
107,"(array([104,  54]), array([65, 64]))"
107,"(array([ 7, 62]), array([112, 113]))"
107,"(array([86, 88]), array([  6, 102]))"
107,"(array([28, 28]), array([26,  0]))"
107,"(array([60, 21]), array([112,  92]))"
107,"(array([61, 62]), array([112,  46]))"
107,"(array([28, 37]), array([106,  77]))"
107,"(array([39, 69]), array([20,  2]))"
107,"(array([14, 57]), array([95, 72]))"
108,"(array([ 3, 63]), array([35,  1]))"
108,"(array([53, 21]), array([26,  4]))"
108,"(array([ 4, 45]), array([53,  5]))"
108,"(array([48, 62]), array([12,  6]))"
121,"(array([64, 41]), array([83, 13]))"
121,"(array([100,  48]), array([84, 14]))"
130,"(array([52, 63]), array([116, 114]))"
100,"(array([111, 102]), array([83, 80]))"
100,"(array([ 52, 115]), array([106,  13]))"
100,"(array([75, 58]), array([117,  76]))"
100,"(array([115,  12]), array([23, 44]))"
100,"(array([105,  84]), array([45, 49]))"
101,"(array([77, 14]), array([31, 68]))"
101,"(array([ 9, 94]), array([82, 49]))"
109,"(array([33, 49]), array([76, 12]))"
109,"(array([  8, 115]), array([112,  68]))"
113,"(array([48, 29]), array([68,  8]))"
113,"(array([88, 13]), array([11, 40]))"
113,"(array([53, 12]), array([28, 96]))"
113,"(array([10, 26]), array([  6, 106]))"
113,"(array([117,  72]), array([95, 25]))"
113,"(array([105,  68]), array([ 26, 114]))"
113,"(array([101, 111]), array([105,  67]))"
113,"(array([ 71, 113]), array([79, 25]))"
118,"(array([28, 89]), array([51, 60]))"
121,"(array([64, 41]), array([83, 13]))"
121,"(array([100,  48]), array([84, 14]))"
130,"(array([52, 63]), array([116, 114]))"
130,"(array([87,  5]), array([ 64, 116]))"
130,"(array([112,  35]), array([39,  6]))"
130,"(array([ 3, 58]), array([84, 11]))"
130,"(array([ 22, 107]), array([65, 83]))"
130,"(array([22, 12]), array([31, 97]))"
130,"(array([50, 49]), array([104,   3]))"
130,"(array([100,  98]), array([70, 98]))"
130,"(array([89,  2]), array([105, 109]))"
130,"(array([117,  30]), array([ 38, 111]))"
130,"(array([112,   5]), array([0, 4]))"
130,"(array([ 34, 103]), array([21, 63]))"
130,"(array([ 25, 104]), array([75, 10]))"
130,"(array([31, 99]), array([80, 87]))"
130,"(array([80, 85]), array([110,  37]))"
130,"(array([66, 80]), array([107,  26]))"
130,"(array([73, 29]), array([38, 98]))"
130,"(array([115,  43]), array([ 95, 104]))"
130,"(array([12, 15]), array([102, 102]))"
130,"(array([112, 111]), array([106,  14]))"
130,"(array([67, 73]), array([37, 10]))"
130,"(array([ 9, 68]), array([109,   2]))"
130,"(array([ 68, 106]), array([39, 14]))"
130,"(array([64, 10]), array([ 68, 104]))"
130,"(array([94,  3]), array([ 5, 66]))"
130,"(array([105,   2]), array([ 66, 116]))"
130,"(array([ 3, 50]), array([111,   2]))"
130,"(array([114,  20]), array([ 7, 54]))"
130,"(array([10, 57]), array([111,  31]))"
130,"(array([109,  17]), array([12, 62]))"
130,"(array([ 69, 114]), array([32, 80]))"
130,"(array([68, 59]), array([ 24, 105]))"
130,"(array([62, 11]), array([ 66, 110]))"
130,"(array([ 32, 105]), array([ 66, 105]))"
130,"(array([36,  2]), array([76, 70]))"
130,"(array([116,  23]), array([118, 102]))"
130,"(array([74, 76]), array([ 26, 114]))"
130,"(array([83, 91]), array([15, 16]))"
130,"(array([ 44, 104]), array([17, 56]))"
130,"(array([42, 99]), array([31, 15]))"
130,"(array([16, 65]), array([ 31, 103]))"
130,"(array([101,  10]), array([ 70, 110]))"
130,"(array([113,   2]), array([41, 68]))"
130,"(array([71, 99]), array([114,  44]))"
130,"(array([81,  7]), array([78, 68]))"
133,"(array([113,  62]), array([63,  2]))"
133,"(array([31, 31]), array([104,   7]))"
133,"(array([ 42, 104]), array([110,  30]))"
134,"(array([ 1, 19]), array([47, 53]))"
135,"(array([100,   6]), array([53,  4]))"
135,"(array([47, 71]), array([13, 47]))"
135,"(array([42, 49]), array([46,  9]))"
135,"(array([114,  39]), array([25, 91]))"
135,"(array([ 8, 60]), array([ 2, 62]))"
135,"(array([36,  1]), array([15, 76]))"
135,"(array([ 2, 71]), array([24, 15]))"
135,"(array([116,  17]), array([ 4, 57]))"
135,"(array([ 8, 64]), array([36,  8]))"
135,"(array([14, 58]), array([25, 13]))"
135,"(array([13, 16]), array([41, 78]))"
135,"(array([34,  6]), array([ 7, 64]))"
135,"(array([43, 67]), array([52,  2]))"
137,"(array([33, 79]), array([ 9, 64]))"
137,"(array([19, 13]), array([108,  16]))"
137,"(array([101, 103]), array([5, 8]))"
137,"(array([116, 104]), array([ 4, 46]))"
137,"(array([107,  83]), array([ 8, 71]))"
137,"(array([22, 58]), array([54,  9]))"
137,"(array([ 98, 100]), array([13, 83]))"
137,"(array([ 4, 69]), array([101, 110]))"
137,"(array([118, 114]), array([ 0, 51]))"
137,"(array([111,  20]), array([ 4, 54]))"
137,"(array([101,  56]), array([13, 44]))"
137,"(array([116,  32]), array([ 8, 34]))"
137,"(array([ 8, 71]), array([40, 41]))"
139,"(array([94, 15]), array([66, 73]))"
139,"(array([39, 31]), array([90, 80]))"
139,"(array([39, 25]), array([92, 96]))"
139,"(array([31, 71]), array([56, 28]))"
141,"(array([ 5, 98]), array([71, 36]))"
141,"(array([ 56, 104]), array([76, 57]))"
142,"(array([94, 46]), array([ 0, 94]))"
142,"(array([ 96, 116]), array([49, 40]))"
142,"(array([106,  23]), array([  1, 101]))"
142,"(array([99,  3]), array([ 1, 85]))"
142,"(array([59, 45]), array([ 7, 24]))"
142,"(array([114,  70]), array([52, 55]))"
142,"(array([ 94, 114]), array([92, 74]))"
148,"(array([11, 29]), array([ 95, 105]))"
148,"(array([44, 40]), array([101,  41]))"
148,"(array([53, 33]), array([39, 95]))"
148,"(array([38, 22]), array([ 91, 103]))"
148,"(array([ 6, 49]), array([104,  94]))"
148,"(array([97, 46]), array([ 8, 41]))"
148,"(array([54, 35]), array([103, 103]))"
161,"(array([ 85, 116]), array([29, 19]))"
165,"(array([54,  2]), array([106,  95]))"
165,"(array([104,  66]), array([96,  5]))"
165,"(array([88, 22]), array([38,  4]))"
165,"(array([109,  24]), array([110,  73]))"
165,"(array([ 96, 100]), array([ 8, 69]))"
165,"(array([14, 66]), array([26, 13]))"
165,"(array([62, 93]), array([110,  32]))"
165,"(array([97, 11]), array([106,  90]))"
165,"(array([91, 91]), array([ 95, 118]))"
165,"(array([104,  99]), array([60,  2]))"
165,"(array([ 90, 106]), array([27,  7]))"
165,"(array([118,  59]), array([ 4, 70]))"
165,"(array([15, 95]), array([ 73, 104]))"
165,"(array([116,  87]), array([109,  25]))"
165,"(array([73, 59]), array([104,  98]))"
165,"(array([85, 84]), array([ 7, 98]))"
165,"(array([ 5, 78]), array([118,  60]))"
165,"(array([93, 92]), array([51,  4]))"
165,"(array([85, 20]), array([ 79, 112]))"
165,"(array([13, 78]), array([74, 92]))"
165,"(array([29,  4]), array([ 99, 116]))"
165,"(array([24,  5]), array([63, 92]))"
165,"(array([43, 46]), array([97, 80]))"
166,"(array([38, 96]), array([96, 61]))"
171,"(array([ 88, 103]), array([112,  28]))"
171,"(array([116, 105]), array([ 70, 110]))"
171,"(array([51, 17]), array([84, 12]))"
171,"(array([113,   4]), array([76, 31]))"
174,"(array([26, 70]), array([113,   7]))"
174,"(array([22, 82]), array([108,  87]))"
174,"(array([99,  6]), array([ 50, 107]))"
174,"(array([48, 57]), array([91, 13]))"
174,"(array([ 86, 108]), array([34, 49]))"
174,"(array([ 40, 103]), array([98, 25]))"
181,"(array([62, 56]), array([ 7, 32]))"
181,"(array([ 0, 40]), array([117,  46]))"
181,"(array([93, 18]), array([ 22, 101]))"
181,"(array([94, 59]), array([ 59, 111]))"
181,"(array([22, 98]), array([ 8, 38]))"
181,"(array([11, 36]), array([ 44, 101]))"
181,"(array([96, 50]), array([12,  8]))"
181,"(array([106,  38]), array([ 9, 16]))"
181,"(array([88, 43]), array([99, 99]))"
181,"(array([70, 91]), array([ 4, 24]))"
181,"(array([111,   0]), array([24, 43]))"
181,"(array([ 97, 102]), array([86, 51]))"
181,"(array([13,  5]), array([111,  18]))"
181,"(array([116, 102]), array([89, 22]))"
181,"(array([115, 110]), array([63, 14]))"
181,"(array([92, 91]), array([74, 12]))"
181,"(array([35, 94]), array([106,  55]))"
181,"(array([23, 40]), array([92,  2]))"
181,"(array([71, 10]), array([ 64, 104]))"
181,"(array([  1, 107]), array([98,  9]))"
188,"(array([47, 69]), array([30,  1]))"
188,"(array([110,  59]), array([32, 43]))"
188,"(array([90, 73]), array([19, 38]))"
188,"(array([109,   0]), array([53, 74]))"
188,"(array([ 5, 46]), array([115,  28]))"
189,"(array([109, 116]), array([35, 40]))"
189,"(array([102,  95]), array([45, 55]))"
189,"(array([117,  12]), array([ 3, 49]))"
