image_number,number_of_paths
166,"(array([90, 61]), array([18, 77]))"
166,"(array([59, 31]), array([94,  6]))"
166,"(array([44, 19]), array([107,  36]))"
166,"(array([53, 82]), array([98,  8]))"
166,"(array([107,  44]), array([54, 28]))"
166,"(array([92, 34]), array([45, 46]))"
166,"(array([90, 26]), array([48, 98]))"
17,"(array([109,  69]), array([45, 90]))"
170,"(array([103,  72]), array([39, 63]))"
170,"(array([83, 50]), array([72,  5]))"
170,"(array([92,  6]), array([  2, 112]))"
170,"(array([90, 64]), array([40, 33]))"
171,"(array([37, 12]), array([80, 25]))"
171,"(array([81, 72]), array([117,  58]))"
171,"(array([114,  10]), array([63,  9]))"
171,"(array([80, 23]), array([ 65, 109]))"
171,"(array([ 15, 109]), array([89,  0]))"
171,"(array([85, 33]), array([114,  29]))"
171,"(array([84,  5]), array([ 87, 111]))"
171,"(array([114,   8]), array([ 8, 17]))"
171,"(array([115, 106]), array([ 89, 102]))"
171,"(array([116,  33]), array([81, 76]))"
171,"(array([ 38, 108]), array([105,   5]))"
171,"(array([114,  35]), array([ 86, 109]))"
171,"(array([ 25, 103]), array([80,  3]))"
171,"(array([ 64, 103]), array([117,  16]))"
171,"(array([111,  32]), array([77, 37]))"
174,"(array([30, 99]), array([97, 95]))"
174,"(array([48, 54]), array([ 87, 105]))"
174,"(array([89, 92]), array([43, 57]))"
174,"(array([99, 28]), array([33, 87]))"
174,"(array([51, 88]), array([93, 71]))"
174,"(array([97,  5]), array([ 32, 100]))"
174,"(array([36, 11]), array([89, 85]))"
174,"(array([46, 71]), array([ 97, 108]))"
174,"(array([38, 22]), array([97, 22]))"
174,"(array([ 92, 106]), array([24, 73]))"
174,"(array([118,  44]), array([45,  6]))"
174,"(array([103, 117]), array([48, 86]))"
174,"(array([108,   1]), array([39, 34]))"
174,"(array([25, 34]), array([106,  64]))"
176,"(array([42, 66]), array([25,  3]))"
181,"(array([ 3, 40]), array([79, 42]))"
181,"(array([116, 102]), array([87, 24]))"
181,"(array([54, 89]), array([102,  54]))"
181,"(array([ 7, 18]), array([ 56, 100]))"
181,"(array([ 59, 112]), array([111,  14]))"
181,"(array([79,  7]), array([ 82, 113]))"
181,"(array([ 0, 23]), array([69, 47]))"
181,"(array([ 92, 100]), array([63, 61]))"
181,"(array([ 3, 34]), array([42, 93]))"
181,"(array([39, 94]), array([111,  48]))"
181,"(array([19, 46]), array([63, 88]))"
181,"(array([115,  96]), array([85,  9]))"
181,"(array([71, 94]), array([118,  52]))"
181,"(array([109,  45]), array([104, 111]))"
181,"(array([68, 51]), array([107,  95]))"
181,"(array([73,  7]), array([108, 115]))"
181,"(array([106,  20]), array([10,  6]))"
181,"(array([116,  88]), array([76, 50]))"
181,"(array([ 9, 19]), array([76, 12]))"
181,"(array([ 71, 107]), array([112,  47]))"
181,"(array([23, 13]), array([105,  51]))"
181,"(array([18, 24]), array([111,  91]))"
181,"(array([113, 105]), array([104,  35]))"
181,"(array([108,  48]), array([ 8, 30]))"
181,"(array([98, 16]), array([ 41, 100]))"
181,"(array([65, 90]), array([20, 25]))"
181,"(array([36, 93]), array([86, 38]))"
181,"(array([109,  28]), array([ 9, 11]))"
181,"(array([ 66, 109]), array([59, 53]))"
181,"(array([ 60, 111]), array([11, 49]))"
181,"(array([ 93, 101]), array([88, 15]))"
181,"(array([ 67, 104]), array([12, 32]))"
181,"(array([69, 58]), array([ 1, 24]))"
181,"(array([89, 43]), array([116, 112]))"
181,"(array([49, 56]), array([ 62, 109]))"
181,"(array([ 6, 37]), array([56, 51]))"
181,"(array([89, 40]), array([104, 109]))"
181,"(array([ 50, 103]), array([110,  53]))"
188,"(array([92, 58]), array([37, 63]))"
188,"(array([42, 51]), array([93, 96]))"
188,"(array([75, 35]), array([35, 77]))"
188,"(array([25, 46]), array([116,  43]))"
188,"(array([33, 63]), array([99, 35]))"
188,"(array([40, 56]), array([86, 49]))"
188,"(array([46, 43]), array([  2, 113]))"
188,"(array([ 94, 118]), array([ 7, 46]))"
188,"(array([82, 41]), array([49,  0]))"
188,"(array([35, 37]), array([77, 33]))"
188,"(array([19, 87]), array([113,  55]))"
188,"(array([107,  82]), array([40, 35]))"
188,"(array([95, 68]), array([49, 65]))"
188,"(array([ 10, 109]), array([105,  59]))"
188,"(array([79, 58]), array([13, 48]))"
188,"(array([25, 43]), array([ 1, 95]))"
188,"(array([77, 39]), array([52, 72]))"
188,"(array([85, 48]), array([17, 67]))"
188,"(array([98, 29]), array([23, 43]))"
188,"(array([40, 33]), array([101,  67]))"
188,"(array([109,  78]), array([31, 72]))"
188,"(array([104,  36]), array([ 2, 37]))"
189,"(array([115,  14]), array([ 47, 104]))"
189,"(array([87, 99]), array([ 6, 64]))"
189,"(array([114,  99]), array([111,  26]))"
189,"(array([66, 62]), array([ 94, 103]))"
189,"(array([114,  96]), array([81, 32]))"
189,"(array([81, 36]), array([ 6, 58]))"
189,"(array([70,  9]), array([  2, 108]))"
189,"(array([118,  28]), array([33, 38]))"
189,"(array([115, 108]), array([35, 12]))"
189,"(array([ 78, 106]), array([93, 40]))"
189,"(array([66, 33]), array([62, 70]))"
